Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,convertor
334,991964617,0.029632,0.038175,0.181535,0.02672,0.052448,0.051872,,,,,,,
335,992273737,0.095392,0.227808,0.233696,0.061151,0.044608,0.048704,0.047775,0.253056,0.038976,3.147928,0.623647,0.206303,2.877401
336,1002104465,0.030368,0.05776,0.04608,0.085536,0.102112,0.1016,,,,,,,
337,1002359569,0.0272,0.034912,0.182463,0.025504,0.05792,0.062144,,,,,,,
338,1002764848,0.089439,0.093376,0.317887,0.040576,0.060192,0.061888,0.061151,0.308256,0.047328,3.520983,0.574399,0.247583,2.803929
339,1016473199,0.029632,0.080544,0.051264,0.029408,0.0976,0.114304,,,,,,,
340,1016719630,0.033343,0.040608,0.259711,0.031616,0.121056,0.069856,,,,,,,
341,1017291917,0.119296,0.121471,0.474687,0.05152,0.063552,0.065984,0.071328,0.359999,0.060064,3.970294,0.460127,0.244032,3.463927
342,1044682508,0.0408,0.075871,0.065856,0.17792,0.116895,0.171328,,,,,,,
343,1045100779,0.038624,0.049856,0.20464,0.0528,0.096512,0.108255,,,,,,,
344,1045706249,0.03968,0.04,0.458558,0.026624,0.09232,0.094112,,,,,,,
345,1046928838,0.030816,0.040096,0.117856,0.025696,0.101056,0.133951,,,,,,,
346,1047542085,0.024352,0.031616,0.116608,0.023808,0.090463,0.098368,,,,,,,
347,1048045700,0.026656,0.035328,,0.023264,,,,,,,,,
348,1048156355,0.023808,0.028352,0.617246,0.040864,0.09936,0.108096,,,,,,,
349,1048742210,,,0.577726,,0.092672,0.09552,,,,,,,
350,1049227169,0.060512,0.060416,0.920606,0.02896,0.096832,0.109344,,,,,,,
351,1051100924,0.028448,0.029568,0.143807,0.023104,,,,,,,,,
352,1051299932,0.025056,0.09472,,0.026912,,0.159072,,,,,,,
