Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
263,1029193980,,,3.205312,,0.117757,0.07683,0.072094,0.595982,0.057118,5.748309,,,,
264,1034489759,0.099133,0.096829,,0.053855,,,,,,4.373758,0.614318,6.250951,,
265,1035305735,0.040639,0.089245,0.19305,0.273592,,0.130492,,,,,0.783177,0.167547,,
266,1035641053,0.047518,0.073278,0.418164,0.049407,0.138972,0.064254,,,,,,,,
267,1036380711,,,0.427091,,0.059102,0.062014,,,,,,,,
268,1036561986,0.137244,0.116509,,0.04899,0.057982,,0.061279,0.285815,0.375797,2.778446,0.198906,0.181914,,
269,1044363034,0.038431,0.052286,0.137564,0.070334,0.06483,0.086238,,,,,,,,
270,1044636498,0.035007,0.047486,0.213786,0.025407,0.068766,0.044862,,,,,,,,
271,1044928745,0.109757,0.127932,0.22777,0.06067,0.038207,0.03907,0.041599,0.231545,0.039359,,,,,
272,1047345666,0.053791,0.059134,0.073214,0.05043,0.119069,0.124508,,,,,,,,
273,1047695447,0.050526,0.089821,0.266041,0.047647,0.130172,0.101981,,,,2.529205,0.1471,,,
274,1048189033,,,0.389556,,0.050014,0.056383,0.051199,0.318902,0.046047,2.495862,2.912489,0.300535,,50.628738
275,1051502118,,,,,,,,,,,0.181466,0.169595,13.647051,4.947406
276,1075059884,0.114621,0.110716,0.043455,0.047775,0.04819,0.07155,,,,,18.788179,,,
277,1075756471,0.225401,0.065022,0.056735,0.052446,,,,,,,,,,
278,1075998864,0.045215,0.093821,,0.069182,0.079453,0.133212,,,,,,,,
279,1076270312,0.044734,0.052223,0.165467,0.044286,0.08035,0.099421,,,,,,,,
280,1076527360,0.068638,0.055966,0.313495,0.042495,,,,,,,,,,
281,1076699099,0.041983,0.385908,,0.055007,0.402932,0.071006,,,,,,,,
282,1077286506,0.045343,0.053406,0.716651,0.070366,0.07219,0.070365,,,,,,,,
283,1077621216,0.154491,0.048895,0.461586,0.027647,0.042718,0.043199,,,,,,,,
284,1077780475,0.025631,0.032383,0.38498,,0.041151,0.040031,,,,,,,,
285,1077952406,0.027231,0.035647,0.238233,0.139548,0.038111,0.039615,,,,,,,,
286,1078117649,0.026047,0.030144,0.165243,0.026847,0.037887,0.037503,,,,,,,,
287,1078309835,0.026015,0.031103,0.202362,0.046686,,,,,,,,,,
288,1078367369,0.025567,0.029503,,0.040799,0.060095,0.060414,,,,,,,,
289,1078530405,0.026112,0.048702,0.285208,0.023359,0.041119,0.04019,,,,,,,,
290,1078715839,0.027968,0.032095,0.334102,0.041471,,0.042367,,,,,,,,
291,1078819324,0.028735,0.037279,0.420532,0.027551,0.061118,,,,,,,,,
292,1078980727,0.025056,0.035775,,0.029631,0.043903,0.057214,,,,,,,,
293,1079124883,0.025375,0.029247,0.470066,0.028479,0.042431,0.054558,,,,,,,,
294,1079299022,0.023711,0.031199,0.520816,0.032447,,0.038751,,,,,,,,
295,1079393643,0.024096,0.029407,,0.035999,0.039551,,,,,,,,,
296,1079484328,0.024063,,0.525712,0.023327,0.048638,0.048831,,,,,,,,
297,1079832574,,0.406772,0.661324,0.083134,0.067294,0.069758,,,,,,,,
298,1080154548,0.043486,0.060543,0.855783,0.046846,0.092862,0.069917,,,,,,,,
299,1080415309,0.043934,0.052607,1.049089,0.077566,0.063262,0.068798,,,,,,,,
300,1080682917,0.042142,0.054847,1.210876,0.041375,,0.08771,,,,,,,,
301,1080859904,0.040382,0.048479,0.977155,0.039007,0.066878,0.060894,,,,,,,,
302,1081300114,,,1.038177,,0.063838,0.077214,,,,,,,,
303,1081604553,,,1.082815,,0.06803,0.061695,,,,,,,,
304,1081805252,,,1.08096,,0.049022,0.036766,,,,,,,,
305,1081961727,,,1.045665,,0.033471,0.037375,,,,,,,,
306,1082489807,0.035039,0.141148,0.029407,0.030047,0.034783,,,,,,,,,
307,1082729320,0.024447,0.040927,,0.025087,0.056446,0.038911,,,,,,,,
308,1082879108,0.024095,0.029567,0.087614,0.035487,0.038559,0.039806,,,,,,,,
309,1083089597,0.029599,0.034175,0.114749,0.027135,0.035551,0.043518,,,,,,,13.079132,
310,1083599726,0.024831,0.030591,0.037599,0.024256,0.048031,0.037535,,,,,,,,
311,1083745610,0.024415,0.031744,0.091037,0.051934,0.051518,0.035519,,,,,,,,
312,1084077184,0.047775,0.070366,0.192986,0.044158,0.068286,0.071486,,,,,,,,
